"Cynarctus,"Cynarctus galushai",14.785,14.785
"Canis,"Canis dirus",0.06885,1.6845
"Canis,"Canis armbrusteri",0.06885,2.6
"Desmocyon","Desmocyon",22.615000000000002,22.615000000000002
"Alopex,"Alopex lagopus",0.00585,1.05
"Cynarctus,"Cynarctus marylandica",14.895,18.205000000000002
"Oxetocyon","Oxetocyon",32.05,32.05
"Caninae","Caninae",0.06885,25.55
"Carpocyon,"Carpocyon compressus",13.135000000000002,14.785
"Mesocyon","Mesocyon",25.615000000000002,25.615000000000002
"Mesocyon,"Mesocyon coryphaeus",25.615000000000002,25.615000000000002
"Canis","Canis",0.00585,12.809000000000001
"Canis,"Canis lupus",0.00585,3.0940000000000003
"Paratomarctus,"Paratomarctus temerarius",9.25,14.895
"Cynotherium,"Cynotherium sardous",0.06885,1.80585
"Hesperocyoninae","Hesperocyoninae",22.615000000000002,28.55
"Otocyon,"Otocyon megalotis",0.00585,1.29985
"Philotrox,"Philotrox condoni",25.615000000000002,28.55
"Borophagus,"Borophagus littoralis",11.95,14.1815
"Cormocyon,"Cormocyon haydeni",22.615000000000002,25.615000000000002
"Borophaginae","Borophaginae",7.6000000000000005,22.615000000000002
"Urocyon,"Urocyon cinereoargenteus",0.00585,3.35
"Enhydrocyon","Enhydrocyon",25.55,32.05
"Otarocyon,"Otarocyon cooki",25.615000000000002,28.55
"Tomarctus","Tomarctus",11.95,14.895
"Protocyon,"Protocyon tarijensis",1.6845,1.6845
"Urocyon,"Urocyon citrinus",3.35,3.35
"Speothos","Speothos",1.29985,1.29985
"Phlaocyon,"Phlaocyon latidens",25.615000000000002,32.05
"Cynarctoides,"Cynarctoides lemur",22.615000000000002,28.55
"Psalidocyon,"Psalidocyon marianae",14.785,18.2
"Paraenhydrocyon,"Paraenhydrocyon robustus",22.615000000000002,22.615000000000002
"Carpocyon,"Carpocyon webbi",7.6000000000000005,14.785
"Hesperocyon","Hesperocyon",25.615000000000002,43.3
"Cynarctoides,"Cynarctoides roii",25.615000000000002,28.55
"Leptocyon,"Leptocyon matthewi",9.25,11.95
"Phlaocyon,"Phlaocyon leucosteus",18.2,22.615000000000002
"Phlaocyon,"Phlaocyon achoros",22.615000000000002,22.615000000000002
"Canis,"Canis thooides",3.35,3.35
"Epicyon,"Epicyon haydeni",7.6000000000000005,18.2
"Urocyon,"Urocyon webbi",7.6000000000000005,7.6000000000000005
"Enhydrocyon,"Enhydrocyon pahinsintewakpa",22.615000000000002,28.55
"Canis,"Canis adustus",0.00585,3.0940000000000003
